"St","Name","Version","Arch","Description","Licenses"
"ii","a2ep","16.0.4","amd64","Able2Extract Professional","Commercial"
"ii","accountsservice","0.6.55-0ubuntu12~20.04.4","amd64","query and manipulate user account information","GPL-2+ GPL-3+"
"ii","acl","2.2.53-6","amd64","access control list - utilities","GPL-2+ LGPL-2+"
"ii","acpi-support","0.143","amd64","scripts for handling many ACPI events","GPL-2+"
"ii","acpid","1:2.0.32-1ubuntu1","amd64","Advanced Configuration and Power Interface event daemon","GPL-2"
"ii","add-apt-key","1.0-0.5","all","Command line tool to add GPG keys to the APT keyring","GPL"
"ii","adduser","3.118ubuntu2","all","add and remove users and groups","GPL-2"
"ii","adobe-flash-properties-gtk","1:20201231.1-0ubuntu0.20.04.1","amd64","GTK+ control panel for Adobe Flash Player plugin (transitional package)","GPL"
"ii","adobe-flashplugin","1:20201231.1-0ubuntu0.20.04.1","amd64","Adobe Flash Player plugin (transitional package)","GPL"
"ii","adwaita-icon-theme","3.36.1-2ubuntu0.20.04.2","all","default icon theme of GNOME (small subset)","GFDL-1.2 GPL LGPL-3"
"ii","adwaita-icon-theme-full","3.36.1-2ubuntu0.20.04.2","all","default icon theme of GNOME","GFDL-1.2 GPL LGPL-3"
"ii","albert","0.16.1hamonikr2","amd64","A sophisticated, plugin-based, standalone keyboard launcher written in C++/Qt","See project repository"
"ii","alsa-base","1.0.25+dfsg-0ubuntu5","all","ALSA driver configuration files","GPL-2"
"ii","alsa-topology-conf","1.2.2-1","all","ALSA topology configuration files","BSD-3-clause"
"ii","alsa-ucm-conf","1.2.2-1ubuntu0.5","all","ALSA Use Case Manager configuration files","BSD-3-clause"
"ii","alsa-utils","1.2.2-1ubuntu2","amd64","Utilities for configuring and using ALSA","GPL-2 LGPL-2+"
"ii","alzip","1.0.0","amd64","Archive utility","See project repository"
"ii","amd64-microcode","3.20191218.1ubuntu1","amd64","Processor microcode firmware for AMD CPUs","See project repository"
"ii","anacron","2.3-29","amd64","cron-like program that doesn't go by time","GPL-2"
"ii","ant","1.10.7-1","all","Java based build tool like make","Apache-2.0"
"ii","ant-optional","1.10.7-1","all","Java based build tool like make - optional libraries","Apache-2.0"
"ii","apg","2.2.3.dfsg.1-5","amd64","Automated Password Generator - Standalone version","BSD-3-Clause"
"ii","app-install-data","15.10","all","Ubuntu applications (data files)","GPL"
"ii","apparmor","2.13.3-7ubuntu5.1","amd64","user-space parser utility for AppArmor","BSD-3-clause BSD-3-clause or GPL-2+ GPL-2 GPL-2+ LGPL-2.1+"
"ii","appstream","0.12.10-2","amd64","Software component metadata management","FSFAP GPL-2+ LGPL-2.1+"
"ii","apt","2.0.2ubuntu0.2","amd64","commandline package manager","GPL-2"
"ii","apt-clone","0.4.1ubuntu3","all","Script to create state bundles","GPL-3"
"ii","apt-file","3.2.2","all","search for files within Debian packages (command-line interface)","GPL-2"
"ii","apt-rdepends","1.3.0-7","all","recursively lists package dependencies","GPL-2+"
"ii","apt-transport-https","2.0.2ubuntu0.2","all","transitional package for https support","GPL-2"
"ii","apt-utils","2.0.2ubuntu0.2","amd64","package management related utility programs","GPL-2"
"ii","aptdaemon","1.1.1+bzr982-0ubuntu32.3","all","transaction based package management service","GPL-2"
"ii","aptdaemon-data","1.1.1+bzr982-0ubuntu32.3","all","data files for clients","GPL-2"
"ii","aptitude","0.8.12-1ubuntu4","amd64","terminal-based package manager","GPL-2+"
"ii","aptitude-common","0.8.12-1ubuntu4","all","architecture independent files for the aptitude package manager","GPL-2+"
"ii","apturl","0.5.2+linuxmint11","all","install packages using the apt protocol - GTK+ frontend","GPL"
"ii","apturl-common","0.5.2+linuxmint11","all","install packages using the apt protocol - common data","GPL"
"ii","arandr","0.1.10-1.1","all","Simple visual front end for XRandR","GPL-3+"
"ii","archdetect-deb","1.117ubuntu7","amd64","Hardware architecture detector","GPL-2"
"ii","asbru-cm","6.2.2-1hamonikr1","all","A free and open-source connection manager","GPL 3.0 GPL-3+"
"ii","aspell","0.60.8-1build1","amd64","GNU Aspell spell-checker","GFDL-1.2+ LGPL-2.1+"
"ii","aspell-en","2018.04.16-0-1","all","English dictionary for GNU Aspell","Public Domain public domain"
"ii","at","3.1.23-1ubuntu1","amd64","Delayed job execution and batch processing","GPL-2+ GPL-3+ ISC"
"ii","at-spi2-core","2.36.0-2","amd64","Assistive Technology Service Provider Interface (dbus core)","AFL-2.1 AFL-2.1 or GPL-2+ GPL-2 GPL-2+ LGPL-2+ public-domain"
"ii","attr","1:2.4.48-5","amd64","utilities for manipulating filesystem extended attributes","GPL-2+ LGPL-2+"
"ii","autoconf","2.69-11.1","all","automatic configure script builder","GFDL-1.3+ GPL-2+ GPL-2+ with Autoconf exception GPL-3+ GPL-3+ with Autoconf exception GPL-3+ with Texinfo exception MIT-X-Consortium no-modification other permissive permissive-long-disclaimer permissive-short-disclaimer permissive-without-disclaimer permissive-without-notices-or-disclaimer"
"ii","automake","1:1.16.1-4ubuntu6","all","Tool for generating GNU Standards-compliant Makefiles","GFDL-NIV-1.3+ GPL-2+ GPL-3+ permissive"
"ii","autopoint","0.19.8.1-10build1","all","autopoint program from GNU gettext","GFDL GPL LGPL"
"ii","autorandr","1.8.1-2.1","all","Automatically select a display configuration for connected devices","Expat GPL-3+"
"ii","autotools-dev","20180224.1","all","Update infrastructure for config.{guess,sub} files","GPL"
"ii","avahi-autoipd","0.7-4ubuntu7","amd64","Avahi IPv4LL network address configuration daemon","GPL GPL-2 LGPL-2.1"
"ii","avahi-daemon","0.7-4ubuntu7","amd64","Avahi mDNS/DNS-SD daemon","GPL GPL-2 LGPL-2.1"
"ii","avahi-utils","0.7-4ubuntu7","amd64","Avahi browsing, publishing and discovery utilities","GPL GPL-2 LGPL-2.1"
"ii","aview","1.3.0rc1-9build1","amd64","A high quality ASCII art image viewer and video player","GPL"
"ii","bamfdaemon","0.5.3+18.04.20180207.2-0ubuntu2","amd64","Window matching library - daemon","GPL-3 LGPL-3"
"ii","baobab","3.34.0-1","amd64","GNOME disk usage analyzer","GPL-2+"
"ii","base-files","20.0.1hamonikr4","amd64","Debian base system miscellaneous files","GPL"
"ii","base-passwd","3.5.47","amd64","Debian base system master password and group files","GPL-2 PD"
"ii","bash","5.0-6ubuntu1.1","amd64","GNU Bourne Again SHell","GPL-3"
"ii","bash-completion","1:2.10-1ubuntu1","all","programmable completion for the bash shell","GPL-2+"
"ii","bat","0.12.1-1build1","amd64","cat(1) clone with syntax highlighting and git integration","Apache-2.0 MIT MIT or Apache-2.0"
"ii","bc","1.07.1-2build1","amd64","GNU bc arbitrary precision calculator language","GPL-2.0+ GPL-2.0+ with Texinfo exception X11 permissive permissive' public-domain"
"ii","beancounter","0.8.10","all","A stock portfolio performance monitoring tool","GPL-2"
"ii","bind9-dnsutils","1:9.16.1-0ubuntu2.4","amd64","Clients provided with BIND 9","BSD-2-clause BSD-3-clause ISC ISC or MPL-2.0 MPL-2.0"
"ii","bind9-host","1:9.16.1-0ubuntu2.4","amd64","DNS Lookup Utility","BSD-2-clause BSD-3-clause ISC ISC or MPL-2.0 MPL-2.0"
"ii","bind9-libs:amd64","1:9.16.1-0ubuntu2.4","amd64","Shared Libraries used by BIND 9","BSD-2-clause BSD-3-clause ISC ISC or MPL-2.0 MPL-2.0"
"ii","binutils","2.34-6ubuntu1","amd64","GNU assembler, linker and binary utilities","GFDL GPL LGPL"
"ii","binutils-common:amd64","2.34-6ubuntu1","amd64","Common files for the GNU assembler, linker and binary utilities","GFDL GPL LGPL"
"ii","binutils-x86-64-linux-gnu","2.34-6ubuntu1","amd64","GNU binary utilities, for x86-64-linux-gnu target","GFDL GPL LGPL"
"ii","bison","2:3.5.1+dfsg-1","amd64","YACC-compatible parser generator","GPL-2+ GPL-3+"
"ii","blueberry","1.3.9","all","A configuration tool for Bluetooth","GPL-3+"
"ii","bluetooth","5.53-0ubuntu3","all","Bluetooth support","GFDL GPL-2 LGPL-2.1"
"ii","bluez","5.53-0ubuntu3","amd64","Bluetooth tools and daemons","GFDL GPL-2 LGPL-2.1"
"ii","bluez-cups","5.53-0ubuntu3","amd64","Bluetooth printer driver for CUPS","GFDL GPL-2 LGPL-2.1"
"ii","bluez-obexd","5.53-0ubuntu3","amd64","bluez obex daemon","GFDL GPL-2 LGPL-2.1"
"ii","bluez-tools","2.0~20170911.0.7cb788c-2build1","amd64","Set of tools to manage Bluetooth devices for linux","GPL-2+"
"ii","bolt","0.8-4ubuntu1","amd64","system daemon to manage thunderbolt 3 devices","LGPL-2.1+"
"ii","boot-select","1.2.0","all","Boot Menu Select tool for HamoniKR","GPL-3+"
"ii","breeze","4:5.18.4.1-0ubuntu1","amd64","Default Plasma theme (meta-package).","BSD-3-clause Expat Expat_and_GPL-2+ GPL-2+ GPL-2+3+KDEeV LGPL-2.1+3+KDEeV LGPL-3+"
